t(s)	h(m)	v(m/s)	Vw(m³)	F(N)
1.2690	10.8774	4.9887	0.000000	0.00
1.2790	10.9268	4.8901	0.000000	0.00
1.2890	10.9752	4.7915	0.000000	0.00
1.2990	11.0226	4.6929	0.000000	0.00
1.3090	11.0691	4.5943	0.000000	0.00
1.3190	11.1145	4.4958	0.000000	0.00
1.3290	11.1590	4.3973	0.000000	0.00
1.3390	11.2025	4.2988	0.000000	0.00
1.3490	11.2450	4.2003	0.000000	0.00
1.3590	11.2865	4.1018	0.000000	0.00
1.3690	11.3270	4.0033	0.000000	0.00
1.3790	11.3665	3.9049	0.000000	0.00
1.3890	11.4051	3.8065	0.000000	0.00
1.3990	11.4427	3.7081	0.000000	0.00
1.4090	11.4793	3.6097	0.000000	0.00
1.4190	11.5149	3.5113	0.000000	0.00
1.4290	11.5495	3.4130	0.000000	0.00
1.4390	11.5831	3.3146	0.000000	0.00
1.4490	11.6158	3.2163	0.000000	0.00
1.4590	11.6475	3.1180	0.000000	0.00
1.4690	11.6781	3.0197	0.000000	0.00
1.4790	11.7079	2.9214	0.000000	0.00
1.4890	11.7366	2.8231	0.000000	0.00
1.4990	11.7643	2.7249	0.000000	0.00
1.5090	11.7911	2.6266	0.000000	0.00
1.5190	11.8168	2.5284	0.000000	0.00
1.5290	11.8416	2.4301	0.000000	0.00
1.5390	11.8654	2.3319	0.000000	0.00
1.5490	11.8883	2.2337	0.000000	0.00
1.5590	11.9101	2.1355	0.000000	0.00
1.5690	11.9310	2.0373	0.000000	0.00
1.5790	11.9509	1.9391	0.000000	0.00
1.5890	11.9698	1.8409	0.000000	0.00
1.5990	11.9877	1.7428	0.000000	0.00
1.6090	12.0046	1.6446	0.000000	0.00
1.6190	12.0206	1.5464	0.000000	0.00
1.6290	12.0356	1.4483	0.000000	0.00
1.6390	12.0495	1.3502	0.000000	0.00
1.6490	12.0626	1.2520	0.000000	0.00
1.6590	12.0746	1.1539	0.000000	0.00
1.6690	12.0856	1.0558	0.000000	0.00
1.6790	12.0957	0.9576	0.000000	0.00
1.6890	12.1048	0.8595	0.000000	0.00
1.6990	12.1129	0.7614	0.000000	0.00
1.7090	12.1200	0.6633	0.000000	0.00
1.7190	12.1262	0.5652	0.000000	0.00
1.7290	12.1313	0.4671	0.000000	0.00
1.7390	12.1355	0.3690	0.000000	0.00
1.7490	12.1387	0.2709	0.000000	0.00
1.7590	12.1409	0.1728	0.000000	0.00
1.7690	12.1422	0.0747	0.000000	0.00
1.7790	12.1424	-0.0234	0.000000	0.00
1.7890	12.1417	-0.1215	0.000000	0.00
1.7990	12.1400	-0.2196	0.000000	0.00
1.8090	12.1373	-0.3177	0.000000	0.00
1.8190	12.1336	-0.4158	0.000000	0.00
1.8290	12.1290	-0.5139	0.000000	0.00
1.8390	12.1233	-0.6120	0.000000	0.00
1.8490	12.1167	-0.7101	0.000000	0.00
1.8590	12.1091	-0.8082	0.000000	0.00
1.8690	12.1006	-0.9063	0.000000	0.00
1.8790	12.0910	-1.0043	0.000000	0.00
1.8890	12.0805	-1.1024	0.000000	0.00
1.8990	12.0690	-1.2005	0.000000	0.00
1.9090	12.0565	-1.2986	0.000000	0.00
1.9190	12.0430	-1.3966	0.000000	0.00
1.9290	12.0285	-1.4947	0.000000	0.00
1.9390	12.0131	-1.5927	0.000000	0.00
1.9490	11.9967	-1.6908	0.000000	0.00
1.9590	11.9793	-1.7888	0.000000	0.00
1.9690	11.9609	-1.8868	0.000000	0.00
1.9790	11.9416	-1.9849	0.000000	0.00
1.9890	11.9212	-2.0829	0.000000	0.00
1.9990	11.8999	-2.1809	0.000000	0.00
2.0090	11.8776	-2.2789	0.000000	0.00
2.0190	11.8543	-2.3768	0.000000	0.00
2.0290	11.8301	-2.4748	0.000000	0.00
2.0390	11.8048	-2.5728	0.000000	0.00
2.0490	11.7786	-2.6707	0.000000	0.00
2.0590	11.7514	-2.7687	0.000000	0.00
2.0690	11.7232	-2.8666	0.000000	0.00
2.0790	11.6941	-2.9645	0.000000	0.00
2.0890	11.6639	-3.0624	0.000000	0.00
2.0990	11.6328	-3.1603	0.000000	0.00
2.1090	11.6007	-3.2582	0.000000	0.00
2.1190	11.5677	-3.3561	0.000000	0.00
2.1290	11.5336	-3.4539	0.000000	0.00
2.1390	11.4986	-3.5518	0.000000	0.00
2.1490	11.4626	-3.6496	0.000000	0.00
2.1590	11.4256	-3.7474	0.000000	0.00
2.1690	11.3876	-3.8452	0.000000	0.00
2.1790	11.3487	-3.9429	0.000000	0.00
2.1890	11.3088	-4.0407	0.000000	0.00
2.1990	11.2679	-4.1384	0.000000	0.00
2.2090	11.2260	-4.2362	0.000000	0.00
2.2190	11.1832	-4.3339	0.000000	0.00
2.2290	11.1393	-4.4316	0.000000	0.00
2.2390	11.0945	-4.5292	0.000000	0.00
2.2490	11.0487	-4.6269	0.000000	0.00
2.2590	11.0020	-4.7245	0.000000	0.00
2.2690	10.9543	-4.8221	0.000000	0.00
2.2790	10.9055	-4.9197	0.000000	0.00
2.2890	10.8559	-5.0173	0.000000	0.00
2.2990	10.8052	-5.1148	0.000000	0.00
2.3090	10.7536	-5.2124	0.000000	0.00
2.3190	10.7009	-5.3099	0.000000	0.00
2.3290	10.6474	-5.4074	0.000000	0.00
2.3390	10.5928	-5.5048	0.000000	0.00
2.3490	10.5373	-5.6023	0.000000	0.00
2.3590	10.4808	-5.6997	0.000000	0.00
2.3690	10.4233	-5.7971	0.000000	0.00
2.3790	10.3648	-5.8944	0.000000	0.00
2.3890	10.3054	-5.9918	0.000000	0.00
2.3990	10.2450	-6.0891	0.000000	0.00
2.4090	10.1836	-6.1864	0.000000	0.00
2.4190	10.1213	-6.2837	0.000000	0.00
2.4290	10.0579	-6.3809	0.000000	0.00
2.4390	9.9936	-6.4781	0.000000	0.00
2.4490	9.9284	-6.5753	0.000000	0.00
2.4590	9.8621	-6.6725	0.000000	0.00
2.4690	9.7949	-6.7696	0.000000	0.00
2.4790	9.7267	-6.8667	0.000000	0.00
2.4890	9.6576	-6.9638	0.000000	0.00
2.4990	9.5875	-7.0608	0.000000	0.00
2.5090	9.5164	-7.1578	0.000000	0.00
2.5190	9.4443	-7.2548	0.000000	0.00
2.5290	9.3713	-7.3518	0.000000	0.00
2.5390	9.2973	-7.4487	0.000000	0.00
2.5490	9.2223	-7.5456	0.000000	0.00
2.5590	9.1464	-7.6425	0.000000	0.00
2.5690	9.0695	-7.7393	0.000000	0.00
2.5790	8.9916	-7.8361	0.000000	0.00
2.5890	8.9127	-7.9329	0.000000	0.00
2.5990	8.8329	-8.0296	0.000000	0.00
2.6090	8.7521	-8.1263	0.000000	0.00
2.6190	8.6704	-8.2230	0.000000	0.00
2.6290	8.5877	-8.3196	0.000000	0.00
2.6390	8.5040	-8.4162	0.000000	0.00
2.6490	8.4194	-8.5128	0.000000	0.00
2.6590	8.3337	-8.6093	0.000000	0.00
2.6690	8.2472	-8.7058	0.000000	0.00
2.6790	8.1596	-8.8022	0.000000	0.00
2.6890	8.0711	-8.8987	0.000000	0.00
2.6990	7.9817	-8.9950	0.000000	0.00
2.7090	7.8912	-9.0914	0.000000	0.00
2.7190	7.7998	-9.1877	0.000000	0.00
2.7290	7.7075	-9.2840	0.000000	0.00
2.7390	7.6141	-9.3802	0.000000	0.00
2.7490	7.5199	-9.4764	0.000000	0.00
2.7590	7.4246	-9.5725	0.000000	0.00
2.7690	7.3284	-9.6687	0.000000	0.00
2.7790	7.2312	-9.7647	0.000000	0.00
2.7890	7.1331	-9.8608	0.000000	0.00
2.7990	7.0340	-9.9568	0.000000	0.00
2.8090	6.9340	-10.0527	0.000000	0.00
2.8190	6.8330	-10.1486	0.000000	0.00
2.8290	6.7310	-10.2445	0.000000	0.00
2.8390	6.6281	-10.3403	0.000000	0.00
2.8490	6.5242	-10.4361	0.000000	0.00
2.8590	6.4194	-10.5319	0.000000	0.00
2.8690	6.3136	-10.6276	0.000000	0.00
2.8790	6.2068	-10.7232	0.000000	0.00
2.8890	6.0991	-10.8188	0.000000	0.00
2.8990	5.9904	-10.9144	0.000000	0.00
2.9090	5.8808	-11.0099	0.000000	0.00
2.9190	5.7702	-11.1054	0.000000	0.00
2.9290	5.6587	-11.2008	0.000000	0.00
2.9390	5.5462	-11.2962	0.000000	0.00
2.9490	5.4328	-11.3916	0.000000	0.00
2.9590	5.3184	-11.4869	0.000000	0.00
2.9690	5.2030	-11.5821	0.000000	0.00
2.9790	5.0868	-11.6773	0.000000	0.00
2.9890	4.9695	-11.7725	0.000000	0.00
2.9990	4.8513	-11.8676	0.000000	0.00
3.0090	4.7322	-11.9626	0.000000	0.00
3.0190	4.6120	-12.0576	0.000000	0.00
3.0290	4.4910	-12.1526	0.000000	0.00
3.0390	4.3690	-12.2475	0.000000	0.00
3.0490	4.2460	-12.3424	0.000000	0.00
3.0590	4.1222	-12.4372	0.000000	0.00
3.0690	3.9973	-12.5319	0.000000	0.00
3.0790	3.8715	-12.6266	0.000000	0.00
3.0890	3.7448	-12.7213	0.000000	0.00
3.0990	3.6171	-12.8159	0.000000	0.00
3.1090	3.4885	-12.9105	0.000000	0.00
3.1190	3.3589	-13.0050	0.000000	0.00
3.1290	3.2284	-13.0994	0.000000	0.00
3.1390	3.0969	-13.1938	0.000000	0.00
3.1490	2.9645	-13.2881	0.000000	0.00
3.1590	2.8311	-13.3824	0.000000	0.00
3.1690	2.6968	-13.4767	0.000000	0.00
3.1790	2.5616	-13.5708	0.000000	0.00
3.1890	2.4254	-13.6650	0.000000	0.00
3.1990	2.2883	-13.7590	0.000000	0.00
3.2090	2.1502	-13.8530	0.000000	0.00
3.2190	2.0112	-13.9470	0.000000	0.00
3.2290	1.8713	-14.0409	0.000000	0.00
3.2390	1.7304	-14.1348	0.000000	0.00
3.2490	1.5886	-14.2285	0.000000	0.00
3.2590	1.4458	-14.3223	0.000000	0.00
3.2690	1.3022	-14.4159	0.000000	0.00
3.2790	1.1575	-14.5096	0.000000	0.00
3.2890	1.0120	-14.6031	0.000000	0.00
3.2990	0.8655	-14.6966	0.000000	0.00
3.3090	0.7180	-14.7901	0.000000	0.00
3.3190	0.5697	-14.8834	0.000000	0.00
3.3290	0.4204	-14.9768	0.000000	0.00
3.3390	0.2701	-15.0700	0.000000	0.00
3.3490	0.1190	-15.1632	0.000000	0.00
3.3590	0.0000	0.0000	0.000000	0.00
