t(s),h(m),v(m/s),Vw(m3)
0.1380,0.4329,5.7332,0.000283
0.1384,0.4352,5.7458,0.000282
0.1388,0.4375,5.7584,0.000282
0.1392,0.4398,5.7710,0.000281
0.1396,0.4421,5.7836,0.000281
0.1400,0.4444,5.7962,0.000280
0.1404,0.4467,5.8088,0.000280
0.1408,0.4490,5.8214,0.000279
0.1412,0.4513,5.8340,0.000279
0.1416,0.4537,5.8466,0.000278
0.1420,0.4560,5.8592,0.000278
0.1424,0.4584,5.8718,0.000277
0.1428,0.4607,5.8844,0.000277
0.1432,0.4631,5.8969,0.000276
0.1436,0.4655,5.9095,0.000276
0.1440,0.4678,5.9221,0.000275
0.1444,0.4702,5.9347,0.000275
0.1448,0.4726,5.9473,0.000274
0.1452,0.4750,5.9599,0.000274
0.1456,0.4774,5.9725,0.000273
0.1460,0.4799,5.9850,0.000273
0.1464,0.4823,5.9976,0.000272
0.1468,0.4847,6.0102,0.000272
0.1472,0.4872,6.0228,0.000271
0.1476,0.4896,6.0354,0.000271
0.1480,0.4921,6.0479,0.000270
0.1484,0.4945,6.0605,0.000270
0.1488,0.4970,6.0731,0.000269
0.1492,0.4995,6.0857,0.000269
0.1497,0.5020,6.0983,0.000268
0.1501,0.5045,6.1108,0.000268
0.1505,0.5070,6.1234,0.000267
0.1509,0.5095,6.1360,0.000267
0.1513,0.5120,6.1486,0.000266
0.1517,0.5146,6.1611,0.000266
0.1521,0.5171,6.1737,0.000265
0.1525,0.5196,6.1863,0.000265
0.1529,0.5222,6.1989,0.000264
0.1534,0.5248,6.2114,0.000264
0.1538,0.5273,6.2240,0.000263
0.1542,0.5299,6.2366,0.000263
0.1546,0.5325,6.2491,0.000262
0.1550,0.5351,6.2617,0.000262
0.1554,0.5377,6.2743,0.000261
0.1558,0.5403,6.2869,0.000261
0.1563,0.5429,6.2994,0.000260
0.1567,0.5455,6.3120,0.000260
0.1571,0.5482,6.3246,0.000259
0.1575,0.5508,6.3371,0.000259
0.1579,0.5535,6.3497,0.000258
0.1583,0.5561,6.3623,0.000258
0.1588,0.5588,6.3748,0.000257
0.1592,0.5615,6.3874,0.000257
0.1596,0.5642,6.4000,0.000256
0.1600,0.5669,6.4125,0.000256
0.1604,0.5696,6.4251,0.000255
0.1609,0.5723,6.4377,0.000255
0.1613,0.5750,6.4502,0.000254
0.1617,0.5777,6.4628,0.000254
0.1621,0.5805,6.4753,0.000253
0.1626,0.5832,6.4879,0.000253
0.1630,0.5860,6.5005,0.000252
0.1634,0.5887,6.5130,0.000252
0.1638,0.5915,6.5256,0.000251
0.1643,0.5943,6.5382,0.000251
0.1647,0.5971,6.5507,0.000250
0.1651,0.5998,6.5633,0.000250
0.1655,0.6027,6.5758,0.000249
0.1660,0.6055,6.5884,0.000249
0.1664,0.6083,6.6010,0.000248
0.1668,0.6111,6.6135,0.000248
0.1673,0.6140,6.6261,0.000247
0.1677,0.6168,6.6387,0.000247
0.1681,0.6197,6.6512,0.000246
0.1685,0.6225,6.6638,0.000246
0.1690,0.6254,6.6763,0.000245
0.1694,0.6283,6.6889,0.000245
0.1698,0.6312,6.7015,0.000244
0.1703,0.6341,6.7140,0.000244
0.1707,0.6370,6.7266,0.000243
0.1711,0.6399,6.7391,0.000243
0.1716,0.6428,6.7517,0.000242
0.1720,0.6458,6.7643,0.000242
0.1724,0.6487,6.7768,0.000241
0.1729,0.6517,6.7894,0.000241
0.1733,0.6546,6.8020,0.000240
0.1737,0.6576,6.8145,0.000240
0.1742,0.6606,6.8271,0.000239
0.1746,0.6636,6.8396,0.000239
0.1751,0.6666,6.8522,0.000238
0.1755,0.6696,6.8648,0.000238
0.1759,0.6726,6.8773,0.000237
0.1764,0.6756,6.8899,0.000237
0.1768,0.6786,6.9025,0.000236
0.1773,0.6817,6.9150,0.000236
0.1777,0.6847,6.9276,0.000235
0.1781,0.6878,6.9401,0.000235
0.1786,0.6909,6.9527,0.000234
0.1790,0.6939,6.9653,0.000234
0.1795,0.6970,6.9778,0.000233
0.1799,0.7001,6.9904,0.000233
0.1803,0.7032,7.0030,0.000232
0.1808,0.7064,7.0155,0.000232
0.1812,0.7095,7.0281,0.000231
0.1817,0.7126,7.0407,0.000231
0.1821,0.7158,7.0532,0.000230
0.1826,0.7189,7.0658,0.000230
0.1830,0.7221,7.0784,0.000229
0.1835,0.7252,7.0909,0.000229
0.1839,0.7284,7.1035,0.000228
0.1844,0.7316,7.1161,0.000228
0.1848,0.7348,7.1286,0.000227
0.1853,0.7380,7.1412,0.000227
0.1857,0.7413,7.1538,0.000226
0.1862,0.7445,7.1664,0.000226
0.1866,0.7477,7.1789,0.000225
0.1871,0.7510,7.1915,0.000225
0.1875,0.7542,7.2041,0.000224
0.1880,0.7575,7.2166,0.000224
0.1884,0.7608,7.2292,0.000223
0.1889,0.7641,7.2418,0.000223
0.1893,0.7674,7.2544,0.000222
0.1898,0.7707,7.2669,0.000222
0.1903,0.7740,7.2795,0.000221
0.1907,0.7773,7.2921,0.000221
0.1912,0.7806,7.3047,0.000220
0.1916,0.7840,7.3172,0.000220
0.1921,0.7873,7.3298,0.000219
0.1925,0.7907,7.3424,0.000219
0.1930,0.7941,7.3550,0.000218
0.1935,0.7975,7.3676,0.000218
0.1939,0.8009,7.3801,0.000217
0.1944,0.8043,7.3927,0.000217
0.1948,0.8077,7.4053,0.000216
0.1953,0.8111,7.4179,0.000216
0.1958,0.8145,7.4305,0.000215
0.1962,0.8180,7.4431,0.000215
0.1967,0.8214,7.4556,0.000214
0.1972,0.8249,7.4682,0.000214
0.1976,0.8284,7.4808,0.000213
0.1981,0.8319,7.4934,0.000213
0.1986,0.8354,7.5060,0.000212
0.1990,0.8389,7.5186,0.000212
0.1995,0.8424,7.5312,0.000211
0.2000,0.8459,7.5438,0.000211
0.2004,0.8494,7.5564,0.000210
0.2009,0.8530,7.5689,0.000210
0.2014,0.8566,7.5815,0.000209
0.2018,0.8601,7.5941,0.000209
0.2023,0.8637,7.6067,0.000208
0.2028,0.8673,7.6193,0.000208
0.2033,0.8709,7.6319,0.000207
0.2037,0.8745,7.6445,0.000207
0.2042,0.8781,7.6571,0.000206
0.2047,0.8817,7.6697,0.000206
0.2051,0.8854,7.6823,0.000205
0.2056,0.8890,7.6949,0.000205
0.2061,0.8927,7.7076,0.000204
0.2066,0.8964,7.7202,0.000204
0.2070,0.9000,7.7328,0.000203
0.2075,0.9037,7.7454,0.000203
0.2080,0.9074,7.7580,0.000202
0.2085,0.9112,7.7706,0.000202
0.2090,0.9149,7.7832,0.000201
0.2094,0.9186,7.7958,0.000201
0.2099,0.9224,7.8084,0.000200
0.2104,0.9261,7.8211,0.000200
0.2109,0.9299,7.8337,0.000199
0.2114,0.9337,7.8463,0.000199
0.2118,0.9375,7.8589,0.000198
0.2123,0.9413,7.8715,0.000198
0.2128,0.9451,7.8842,0.000197
0.2133,0.9489,7.8968,0.000197
0.2138,0.9527,7.9094,0.000196
0.2143,0.9566,7.9220,0.000196
0.2148,0.9604,7.9347,0.000195
0.2152,0.9643,7.9473,0.000195
0.2157,0.9682,7.9599,0.000194
0.2162,0.9721,7.9726,0.000194
0.2167,0.9759,7.9852,0.000193
0.2172,0.9799,7.9978,0.000193
0.2177,0.9838,8.0105,0.000192
0.2182,0.9877,8.0231,0.000192
0.2187,0.9917,8.0358,0.000191
0.2192,0.9956,8.0484,0.000191
0.2197,0.9996,8.0610,0.000190
0.2201,1.0036,8.0737,0.000190
0.2206,1.0075,8.0863,0.000189
0.2211,1.0116,8.0990,0.000189
0.2216,1.0156,8.1116,0.000188
0.2221,1.0196,8.1243,0.000188
0.2226,1.0236,8.1369,0.000187
0.2231,1.0277,8.1496,0.000187
0.2236,1.0317,8.1623,0.000186
0.2241,1.0358,8.1749,0.000186
0.2246,1.0399,8.1876,0.000185
0.2251,1.0440,8.2002,0.000185
0.2256,1.0481,8.2129,0.000184
0.2261,1.0522,8.2256,0.000184
0.2266,1.0563,8.2382,0.000183
0.2271,1.0605,8.2509,0.000183
0.2276,1.0646,8.2636,0.000182
0.2281,1.0688,8.2763,0.000182
0.2286,1.0729,8.2889,0.000181
0.2291,1.0771,8.3016,0.000181
0.2296,1.0813,8.3143,0.000180
0.2301,1.0855,8.3270,0.000180
0.2306,1.0898,8.3397,0.000179
0.2312,1.0940,8.3523,0.000179
0.2317,1.0983,8.3650,0.000178
0.2322,1.1025,8.3777,0.000178
0.2327,1.1068,8.3904,0.000177
0.2332,1.1111,8.4031,0.000177
0.2337,1.1154,8.4158,0.000176
0.2342,1.1197,8.4285,0.000176
0.2347,1.1240,8.4412,0.000175
0.2352,1.1283,8.4539,0.000175
0.2358,1.1327,8.4666,0.000174
0.2363,1.1370,8.4793,0.000174
0.2368,1.1414,8.4920,0.000173
0.2373,1.1458,8.5047,0.000173
0.2378,1.1502,8.5175,0.000172
0.2383,1.1546,8.5302,0.000172
0.2388,1.1590,8.5429,0.000171
0.2394,1.1634,8.5556,0.000171
0.2399,1.1679,8.5683,0.000170
0.2404,1.1723,8.5811,0.000170
0.2409,1.1768,8.5938,0.000169
0.2414,1.1813,8.6065,0.000169
0.2420,1.1858,8.6192,0.000168
0.2425,1.1903,8.6320,0.000168
0.2430,1.1948,8.6447,0.000167
0.2435,1.1993,8.6575,0.000167
0.2441,1.2039,8.6702,0.000166
0.2446,1.2084,8.6829,0.000166
0.2451,1.2130,8.6957,0.000165
0.2456,1.2176,8.7084,0.000165
0.2462,1.2222,8.7212,0.000164
0.2467,1.2268,8.7340,0.000164
0.2472,1.2314,8.7467,0.000163
0.2478,1.2360,8.7595,0.000163
0.2483,1.2407,8.7722,0.000162
0.2488,1.2454,8.7850,0.000162
0.2493,1.2500,8.7978,0.000161
0.2499,1.2547,8.8105,0.000161
0.2504,1.2594,8.8233,0.000160
0.2509,1.2641,8.8361,0.000160
0.2515,1.2689,8.8489,0.000159
0.2520,1.2736,8.8617,0.000159
0.2526,1.2784,8.8744,0.000158
0.2531,1.2831,8.8872,0.000158
0.2536,1.2879,8.9000,0.000157
0.2542,1.2927,8.9128,0.000157
0.2547,1.2975,8.9256,0.000156
0.2552,1.3024,8.9384,0.000156
0.2558,1.3072,8.9512,0.000155
0.2563,1.3120,8.9640,0.000155
0.2569,1.3169,8.9768,0.000154
0.2574,1.3218,8.9896,0.000154
0.2580,1.3267,9.0025,0.000153
0.2585,1.3316,9.0153,0.000153
0.2590,1.3365,9.0281,0.000152
